country_name,channel_name,fiscal_year,constant_amount
Afghanistan,U.S. Government - Department of Defense,2011,11172173522
Afghanistan,U.S. Government - Department of Defense,2012,10195234944
Afghanistan,U.S. Government - Department of Defense,2011,8811165672
Afghanistan,U.S. Government - Department of Defense,2013,8409304652
Afghanistan,U.S. Government - Department of Defense,2013,7503519983
Afghanistan,U.S. Government - Department of Defense,2015,7112114214
Afghanistan,U.S. Government - Department of Defense,2012,7327087877
Afghanistan,U.S. Government - Department of Defense,2010,7414880202
Afghanistan,U.S. Government - Department of Defense,2008,7316243420
Afghanistan,U.S. Government - Department of Defense,2015,6333193366
Afghanistan,U.S. Government - Department of Defense,2008,7029239766
Afghanistan,U.S. Government - Department of Defense,2009,6670135276
Afghanistan,U.S. Government - Department of Defense,2009,6609113998
Iraq,U.S. Government - Department of Defense,2006,6494175353
Afghanistan,U.S. Government - Department of Defense,2018,4829000000
Afghanistan,U.S. Government - Department of Defense,2014,4953251169
Afghanistan,U.S. Government - Department of Defense,2014,4949876075
Afghanistan,U.S. Government - Department of Defense,2010,5121843363
Afghanistan,U.S. Government - Department of Defense,2017,4504495300
Iraq,U.S. Government - Department of Defense,2008,5105263158
Iraq,U.S. Government - Department of Defense,2007,4944490868
Afghanistan,U.S. Government - Department of Defense,2018,3966000000
Iraq,U.S. Government - Department of Defense,2007,4560217725
Poland,U.S. Government - Department of Defense,2003,5074108693
Afghanistan,U.S. Government - Department of Defense,2016,3904722280
United Kingdom,U.S. Government - Other,1947,35680304472
Iraq,U.S. Government - Department of Defense,2008,4320019181
Afghanistan,U.S. Government - Department of Defense,2007,4346424734
Afghanistan,U.S. Government - Department of Defense,2017,3614630159
Iraq,U.S. Government - Department of Defense,2006,4312312277
Iraq,U.S. Government - Department of Defense,2009,3992013092
Afghanistan,U.S. Government - Department of Defense,2007,4084457571
Vietnam (former South),U.S. Government - Other,1973,14574679313
Israel,U.S. Government - Department of Defense,2017,3243767879
Israel,U.S. Government - Department of Defense,2017,3243767879
Israel,U.S. Government - Department of Defense,2016,3224464323
Israel,U.S. Government - Department of Defense,2015,3254251522
Israel,U.S. Government - Department of Defense,2016,3224464323
Israel,U.S. Government - Department of Defense,2014,3293667658
Israel,U.S. Government - Department of Defense,2014,3293667658
Israel,U.S. Government - Department of Defense,2015,3254251522
Israel,U.S. Government - Department of Defense,2018,3100000000
Israel,U.S. Government - Department of Defense,2018,3100000000
Israel,U.S. Government - Department of Defense,2003,4121177727
Israel,U.S. Government - Department of Defense,2003,4121177727
Israel,U.S. Government - Department of Defense,2012,3391793514
Israel,U.S. Government - Department of Defense,2012,3391793514
Israel,U.S. Government - Department of Defense,2011,3364801079
Israel,U.S. Government - Department of Defense,2011,3364801079
Israel,U.S. Government - Department of Defense,2013,3187732828
Israel,U.S. Government - Department of Defense,2013,3187732828
Iraq,U.S. Government - Department of Defense,2016,2964426877
Iraq,U.S. Government - Department of Defense,2016,2964426877
Israel,U.S. Government - Department of Defense,2000,3987556561
Israel,U.S. Government - Department of Defense,2010,3181244985
Israel,U.S. Government - Department of Defense,2010,3181244985
Israel,U.S. Government - Department of Defense,1979,7801213522
Iraq,U.S. Government - Department of Defense,2009,3030408140
Afghanistan,U.S. Government - Department of Defense,2016,2705429582
Israel,U.S. Government - Department of Defense,2008,2784280702
Israel,U.S. Government - Department of Defense,2008,2784280702
Israel,U.S. Government - Department of Defense,2009,2751760897
Israel,U.S. Government - Department of Defense,2009,2751760897
Israel,U.S. Government - Department of Defense,2007,2793362779
Israel,U.S. Government - Department of Defense,2007,2793362779
Vietnam (former South),U.S. Government - Other,1972,10696676096
Israel,U.S. Government - Department of Defense,2006,2767872471
Israel,U.S. Government - Department of Defense,2006,2767872471
World,U.S. Government - Other,1995,3462838729
Israel,U.S. Government - Department of Defense,2005,2786940015
Israel,U.S. Government - Department of Defense,2005,2786940015
Israel,U.S. Government - Department of Defense,2004,2800281690
Israel,U.S. Government - Department of Defense,2004,2800281690
World,U.S. Government - Other,1996,3133628559
Israel,U.S. Government - Department of Defense,2002,2774000544
Israel,U.S. Government - Department of Defense,2002,2774000544
World,U.S. Government - Other,1993,3230626101
Israel,U.S. Government - Department of Defense,2001,2729544073
Israel,U.S. Government - Department of Defense,2001,2729544073
Israel,U.S. Government - Other,1985,3949068449
Israel,U.S. Government - Other,1985,3949068449
World,U.S. Government - Other,1994,3054988246
Iraq,U.S. Government - Department of Defense,2010,2195577220
Israel,U.S. Government - Other,1986,3759952466
Israel,U.S. Government - Other,1986,3759952466
Israel,U.S. Government - Department of Defense,1999,2684370039
Israel,U.S. Government - Other,1991,3107676802
Israel,U.S. Government - Other,1991,3107676802
Vietnam (former South),U.S. Government - Other,1971,9050533333
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2016,1891285955
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2016,1891285955
Afghanistan,U.S. Government - Department of Defense,2006,2214592275
Israel,U.S. Government - Department of Defense,1987,3487020535
Israel,U.S. Government - Department of Defense,1995,2762007058
Israel,U.S. Government - Department of Defense,1993,2882305845
Israel,U.S. Government - Department of Defense,1989,3246167719
Israel,U.S. Government - Department of Defense,1998,2631194270
Israel,U.S. Government - Department of Defense,1992,2949852507
Israel,U.S. Government - Department of Defense,1988,3377744417
Israel,U.S. Government - Department of Defense,1994,2820874471
Israel,U.S. Government - Department of Defense,1996,2711251695
Israel,U.S. Government - Department of Defense,1991,3023685537
Israel,U.S. Government - Department of Defense,1997,2663904099
Israel,U.S. Government - Department of Defense,1990,3118058455
Afghanistan,U.S. Government - Department of Defense,2006,2165025425
World,International Development Association,2004,2285194690
World,International Development Association,2004,2285194690
Israel,U.S. Government - Department of Defense,1986,3411764706
World,U.S. Government - Other,1992,2773839725
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2012,1842630893
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2014,1719183487
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2014,1719183487
World,U.S. Government - Other,1990,2790073069
World,U.S. Government - Other,1991,2680530825
Israel,U.S. Government - Department of Defense,1974,6323777403
Egypt,U.S. Government - Department of Defense,1979,4334007512
World,U.S. Government - Other,1985,2928614824
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2013,1552132951
Vietnam (former South),U.S. Government - Other,1970,7388671510
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2012,1561503273
Israel,U.S. Government - Department of Defense,1985,2835155934
Iraq,Bechtel Corporation,2004,1817109001
World,U.S. Government - Other,1998,1995047508
World,International Development Association,2014,1439651509
World,International Development Association,2014,1439651509
World,International Development Association,2013,1463249145
World,International Development Association,2013,1463249145
Poland,U.S. Government - Department of Defense,2003,1786321939
World,International Development Association,2012,1461504522
World,International Development Association,2012,1461504522
World,U.S. Government - Other,1997,1954795027
France,U.S. Government - Other,1952,10249377916
Egypt,U.S. Government - Department of Defense,2010,1490312966
Egypt,U.S. Government - Department of Defense,2009,1503063938
Egypt,U.S. Government - Department of Defense,1991,2183772888
Egypt,U.S. Government - Department of Defense,1998,1900306973
Egypt,U.S. Government - Department of Defense,1989,2344454463
Egypt,U.S. Government - Department of Defense,2007,1551868211
Egypt,U.S. Government - Department of Defense,2007,1551868211
Egypt,U.S. Government - Department of Defense,2012,1433928965
Egypt,U.S. Government - Department of Defense,1999,1876172608
Egypt,U.S. Government - Department of Defense,1992,2130449033
Egypt,U.S. Government - Department of Defense,2000,1838235294
Egypt,U.S. Government - Department of Defense,1995,1994782876
Egypt,U.S. Government - Department of Defense,2015,1364686122
Egypt,U.S. Government - Department of Defense,2015,1364686122
Egypt,U.S. Government - Department of Defense,1987,2518403719
Egypt,U.S. Government - Department of Defense,1994,2037298229
Egypt,U.S. Government - Department of Defense,2002,1767745445
Egypt,U.S. Government - Department of Defense,2002,1767745445
Egypt,U.S. Government - Department of Defense,1993,2081665332
Egypt,U.S. Government - Department of Defense,2012,1433928965
Egypt,U.S. Government - Department of Defense,1997,1923930738
Egypt,U.S. Government - Department of Defense,1988,2439482079
Egypt,U.S. Government - Department of Defense,2009,1503063938
Egypt,U.S. Government - Department of Defense,1996,1958126224
Egypt,U.S. Government - Department of Defense,2010,1490312966
Egypt,U.S. Government - Department of Defense,2011,1458080468
Egypt,U.S. Government - Department of Defense,2011,1458080468
Egypt,U.S. Government - Department of Defense,2001,1792124896
Egypt,U.S. Government - Department of Defense,2001,1792124896
Egypt,U.S. Government - Department of Defense,1990,2251931106
Egypt,U.S. Government - Department of Defense,2004,1685354721
Egypt,U.S. Government - Department of Defense,2004,1685354721
Egypt,U.S. Government - Department of Defense,2003,1724596074
Egypt,U.S. Government - Department of Defense,2003,1724596074
World,United Nations Office of the United Nations High Commissioner for Refugees,2018,1291226588
United Kingdom,U.S. Government - Other,1949,10857863751
Egypt,U.S. Government - Department of Defense,2005,1631991901
Egypt,U.S. Government - Department of Defense,2005,1631991901
Egypt,U.S. Government - Department of Defense,2008,1508152047
Egypt,U.S. Government - Department of Defense,2008,1508152047
World,International Development Association,2015,1351879068
World,International Development Association,2015,1351879068
Egypt,U.S. Government - Department of Defense,2006,1578172900
Egypt,U.S. Government - Department of Defense,2006,1578172900
Iraq,U.S. Government - Department of Defense,2011,1438738903
World,U.S. Government - Other,1989,2294770063
World,International Development Association,2010,1447323169
World,International Development Association,2010,1447323169
World,U.S. Government - Other,1984,2640648671
World,U.S. Government - Other,1979,3634787634
Middle East Region,U.S. Government - Department of Defense,2018,1258000000
World,U.S. Government - Other,1988,2344282229
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2013,1349057028
Egypt,U.S. Government - Department of Defense,1986,2464052288
Vietnam (former South),U.S. Government - Other,1969,6781830601
Egypt,U.S. Government - Department of Defense,2013,1336791186
Egypt,U.S. Government - Department of Defense,2013,1336791186
World,International Development Association,2011,1385176444
World,International Development Association,2011,1385176444
World,International Development Association,2009,1398115967
World,International Development Association,2009,1398115967
Israel,U.S. Government - Other,1997,1775936066
Israel,U.S. Government - Other,1994,1880582981
Israel,U.S. Government - Other,1987,2324680356
Israel,U.S. Government - Other,1989,2164111812
Israel,U.S. Government - Other,1996,1807501130
Israel,U.S. Government - Other,1998,1754129513
Israel,U.S. Government - Other,1995,1841338039
Israel,U.S. Government - Other,1987,2324680356
Israel,U.S. Government - Other,1988,2251829612
Israel,U.S. Government - Other,1988,2251829612
Israel,U.S. Government - Other,1996,1807501130
Israel,U.S. Government - Other,1992,1966568338
Israel,U.S. Government - Other,1994,1880582981
Israel,U.S. Government - Other,1997,1775936066
Israel,U.S. Government - Other,1992,1966568338
Israel,U.S. Government - Other,1995,1841338039
Israel,U.S. Government - Other,1989,2164111812
Israel,U.S. Government - Other,1998,1754129513
Israel,U.S. Government - Other,1993,1921537230
Israel,U.S. Government - Other,1993,1921537230
World,International Development Association,2016,1245192428
World,International Development Association,2016,1245192428
Israel,U.S. Government - Other,1990,2078705637
Israel,U.S. Government - Other,1990,2078705637
Egypt,U.S. Government - Department of Defense,1985,2379505873
World,U.S. Government - Other,1995,1802976830
World,U.S. Government - Other,1986,2297284611
France,U.S. Government - Other,1949,9598822540
France,U.S. Government - Other,1951,9231634304
Iraq,Enterprise - United States Other,2004,1451486698
Iraq,U.S. Government - Department of Defense,2012,1225303083
World,U.S. Government - Other,1987,2144122433
Egypt,U.S. Government - Department of Defense,2016,1149365509
Egypt,U.S. Government - Department of Defense,2016,1149365509
World,U.S. Government - Other,1982,2496145668
World,International Development Association,2007,1309836457
World,International Development Association,2007,1309836457
World,International Development Association,2018,1097010000
World,International Development Association,2018,1097010000
World,International Development Association,2019,1075183769
World,International Development Association,2019,1075183769
World,U.S. Government - Other,1983,2364278283
Israel,U.S. Government - U.S. Agency for International Development,1999,1558666474
Iraq,U.S. Government - Department of Defense,2005,1360415085
World,U.S. Government - Other,1980,2848790858
Egypt,U.S. Government - Other,1986,2117688651
